region,country,year,rp,impact
WP1,THA,1990,14.666666666666666,111992000.0
WP1,THA,1997,11.0,81133000.0
WP1,THA,1994,8.8,39488000.0
WP1,THA,2005,7.333333333333333,29971000.0
WP1,THA,1991,6.285714285714286,17885000.0
WP1,THA,2015,5.5,693000.0
WP1,VNM,2017,44.0,3563870000.0
WP1,VNM,2013,22.0,1852017000.0
WP1,VNM,2020,14.666666666666666,1615290000.0
WP1,VNM,2006,11.0,1567859000.0
WP1,VNM,2009,8.8,1453063000.0
WP1,VNM,1996,7.333333333333333,1119533000.0
WP1,VNM,1997,6.285714285714286,875139000.0
WP1,VNM,2016,5.5,659864000.0
WP1,VNM,2012,4.888888888888889,436955000.0
WP1,VNM,2005,4.4,375013000.0
WP1,VNM,2018,4.0,278778000.0
WP1,VNM,2007,3.6666666666666665,269588000.0
WP1,VNM,2008,3.3846153846153846,258941000.0
WP1,VNM,1998,3.142857142857143,194255000.0
WP1,VNM,2001,2.933333333333333,137513000.0
WP1,VNM,1993,2.75,131682000.0
WP1,VNM,1994,2.588235294117647,88848000.0
WP1,VNM,2022,2.4444444444444446,65000000.0
WP1,VNM,2010,2.3157894736842106,59724000.0
WP1,VNM,1989,2.2,49576000.0
WP1,VNM,2004,2.0952380952380953,46482000.0
WP1,VNM,2000,2.0,44188000.0
WP1,VNM,1995,1.9130434782608696,40715000.0
WP1,VNM,1992,1.8333333333333333,38376000.0
WP1,VNM,2021,1.76,28620000.0
WP1,VNM,1991,1.6923076923076923,20414000.0
WP1,VNM,2014,1.6296296296296295,13227000.0
WP1,VNM,2019,1.5714285714285714,4579000.0
WP1,VNM,2015,1.5172413793103448,269000.0
WP2,PHL,2013,44.0,12734166000.0
WP2,PHL,2015,22.0,2323003000.0
WP2,PHL,2014,14.666666666666666,1313963000.0
WP2,PHL,2009,11.0,1272314000.0
WP2,PHL,2020,8.8,1181621000.0
WP2,PHL,2012,7.333333333333333,1170315000.0
WP2,PHL,2021,6.285714285714286,1107282000.0
WP2,PHL,1988,5.5,997347000.0
WP2,PHL,1984,4.888888888888889,947942000.0
WP2,PHL,1990,4.4,870181000.0
WP2,PHL,2011,4.0,685957000.0
WP2,PHL,2018,3.6666666666666665,659822000.0
WP2,PHL,2019,3.3846153846153846,616215000.0
WP2,PHL,1995,3.142857142857143,608997000.0
WP2,PHL,2008,2.933333333333333,600290000.0
WP2,PHL,1991,2.75,590933000.0
WP2,PHL,1993,2.588235294117647,521546000.0
WP2,PHL,1987,2.4444444444444446,498898000.0
WP2,PHL,2006,2.3157894736842106,480403000.0
WP2,PHL,1998,2.2,422689000.0
WP2,PHL,1980,2.0952380952380953,420440000.0
WP2,PHL,1989,2.0,403890000.0
WP2,PHL,2010,1.9130434782608696,381724000.0
WP2,PHL,1982,1.8333333333333333,359692000.0
WP2,PHL,2023,1.76,317520000.0
WP2,PHL,1981,1.6923076923076923,284477000.0
WP2,PHL,1994,1.6296296296296295,273280000.0
WP2,PHL,1986,1.5714285714285714,230849000.0
WP2,PHL,1985,1.5172413793103448,225907000.0
WP2,PHL,2004,1.4666666666666666,215159000.0
WP2,PHL,2016,1.4193548387096775,208210000.0
WP2,PHL,2001,1.375,160918000.0
WP2,PHL,2000,1.3333333333333333,141848000.0
WP2,PHL,2022,1.2941176470588236,87125000.0
WP2,PHL,1996,1.2571428571428571,70901000.0
WP2,PHL,2003,1.2222222222222223,56046000.0
WP2,PHL,2007,1.1891891891891893,14049000.0
WP2,PHL,1997,1.1578947368421053,13674000.0
WP2,PHL,2017,1.1282051282051282,12984000.0
WP2,PHL,1983,1.1,12693000.0
WP2,PHL,2002,1.0731707317073171,10842000.0
WP2,PHL,1999,1.0476190476190477,3162000.0
WP2,PHL,2005,1.0232558139534884,2997000.0
WP3,CHN,2023,44.0,25690000000.0
WP3,CHN,2013,22.0,12695771000.0
WP3,CHN,2019,14.666666666666666,11898166000.0
WP3,CHN,2006,11.0,10999690000.0
WP3,CHN,2005,8.8,10025318000.0
WP3,CHN,2014,7.333333333333333,9597874000.0
WP3,CHN,2018,6.285714285714286,9445935000.0
WP3,CHN,2015,5.5,9281171000.0
WP3,CHN,2016,4.888888888888889,6744468000.0
WP3,CHN,1997,4.4,6581225000.0
WP3,CHN,2001,4.0,5869075000.0
WP3,CHN,2017,3.6666666666666665,4317955000.0
WP3,CHN,1990,3.3846153846153846,4186277000.0
WP3,CHN,1994,3.142857142857143,3844148000.0
WP3,CHN,2012,2.933333333333333,3839285000.0
WP3,CHN,2007,2.75,3678740000.0
WP3,CHN,1986,2.588235294117647,3668587000.0
WP3,CHN,1996,2.4444444444444446,3582386000.0
WP3,CHN,2004,2.3157894736842106,3400922000.0
WP3,CHN,1993,2.2,2496143000.0
WP3,CHN,2009,2.0952380952380953,2390755000.0
WP3,CHN,2021,2.0,2160056000.0
WP3,CHN,1992,1.9130434782608696,1746543000.0
WP3,CHN,2008,1.8333333333333333,1711325000.0
WP3,CHN,1991,1.76,1488913000.0
WP3,CHN,1989,1.6923076923076923,1144966000.0
WP3,CHN,1999,1.6296296296296295,1057299000.0
WP3,CHN,2010,1.5714285714285714,964690000.0
WP3,CHN,2011,1.5172413793103448,912790000.0
WP3,CHN,2003,1.4666666666666666,855793000.0
WP3,CHN,2022,1.4193548387096775,463000000.0
WP3,CHN,2000,1.375,405252000.0
WP3,CHN,1987,1.3333333333333333,309074000.0
WP3,CHN,2020,1.2941176470588236,197884000.0
WP3,CHN,1998,1.2571428571428571,175943000.0
WP3,CHN,1995,1.2222222222222223,167085000.0
WP4,HKG,2017,44.0,902011000.0
WP4,HKG,1992,22.0,458223000.0
WP4,HKG,1983,14.666666666666666,36858000.0
WP4,HKG,1991,11.0,21488000.0
WP4,HKG,1993,8.8,14019000.0
WP4,HKG,2008,7.333333333333333,517000.0
WP4,HKG,1989,6.285714285714286,158000.0
WP4,HKG,1985,5.5,114000.0
WP4,JPN,2019,44.0,29888502000.0
WP4,JPN,2004,22.0,23463260000.0
WP4,JPN,1991,14.666666666666666,21674328000.0
WP4,JPN,2018,11.0,19812821000.0
WP4,JPN,1990,8.8,8959394000.0
WP4,JPN,1999,7.333333333333333,8784477000.0
WP4,JPN,1998,6.285714285714286,5988345000.0
WP4,JPN,1986,5.5,5874011000.0
WP4,JPN,2006,4.888888888888889,3629303000.0
WP4,JPN,1993,4.4,3545285000.0
WP4,JPN,2011,4.0,3213569000.0
WP4,JPN,2000,3.6666666666666665,2889160000.0
WP4,JPN,2022,3.3846153846153846,2752000000.0
WP4,JPN,2001,3.142857142857143,2148633000.0
WP4,JPN,2017,2.933333333333333,1793277000.0
WP4,JPN,2005,2.75,1498553000.0
WP4,JPN,2007,2.588235294117647,1496144000.0
WP4,JPN,2009,2.4444444444444446,1364123000.0
WP4,JPN,2014,2.3157894736842106,687331000.0
WP4,JPN,1982,2.2,642930000.0
WP4,JPN,2015,2.0952380952380953,284238000.0
WP4,JPN,1985,2.0,270708000.0
WP4,JPN,2013,1.9130434782608696,256278000.0
WP4,JPN,2012,1.8333333333333333,184062000.0
WP4,JPN,1997,1.76,182321000.0
WP4,JPN,2003,1.6923076923076923,167042000.0
WP4,JPN,2016,1.6296296296296295,121936000.0
WP4,JPN,1995,1.5714285714285714,18437000.0
WP4,JPN,1994,1.5172413793103448,11846000.0
WP4,JPN,2002,1.4666666666666666,8135000.0
WP4,KOR,2003,44.0,7158941000.0
WP4,KOR,2002,22.0,6833359000.0
WP4,KOR,2020,14.666666666666666,1356919000.0
