country,cal_region2,event_id,impact,rp
IND,NI,1999298N12099,11110705411.0,38.0
IND,NI,1996306N15097,7786525250.0,19.0
IND,NI,2014279N11096,7000000000.0,12.666666666666666
IND,NI,1990124N09088,3684645392.0,6.333333333333333
IND,NI,1998152N11075,2269722074.0,5.428571428571429
IND,NI,1999288N15093,2088812617.0,4.75
IND,NI,2016341N08092,890280689.2,3.8
IND,NI,1993331N07108,730095393.3,3.4545454545454546
IND,NI,2013281N12098,695703513.0,3.1666666666666665
IND,NI,2009313N11072,455879199.2,2.923076923076923
IND,NI,2011360N09088,420146061.5,2.7142857142857144
IND,NI,1995310N09096,262049202.8,2.375
IND,NI,1994302N11086,119004702.0,2.235294117647059
IND,NI,2003345N05092,93953651.91,2.111111111111111
IND,NI,1999135N12073,88885643.29,2.0
JAM,NA1,2004223N11301,409384949.8,38.0
JAM,NA1,2007225N12331,323956910.3,19.0
JAM,NA1,2008238N13293,67028878.91,12.666666666666666
JAM,NA1,2005186N12299,37089462.6,9.5
JAM,NA1,2012296N14283,15483975.86,7.6
JPN,WP4,1991256N13171,13531933846.0,38.0
JPN,WP4,1990251N06171,6193036523.0,19.0
JPN,WP4,1999260N20130,5316012420.0,12.666666666666666
JPN,WP4,1998259N17118,3608482427.0,9.5
JPN,WP4,2006252N13139,2676605774.0,7.6
JPN,WP4,1993246N16129,1415656470.0,6.333333333333333
JPN,WP4,2007240N17153,1074225778.0,5.428571428571429
JPN,WP4,2005241N15155,1019977855.0,4.75
JPN,WP4,2017288N09138,995484463.5,4.222222222222222
JPN,WP4,2009272N07164,927176205.2,3.8
JPN,WP4,2001225N18146,901659328.8,3.4545454545454546
JPN,WP4,1982202N11165,585717153.3,3.1666666666666665
JPN,WP4,2004227N15141,503661847.5,2.923076923076923
JPN,WP4,2017252N14147,497742231.7,2.7142857142857144
JPN,WP4,1993211N07161,490034931.9,2.533333333333333
JPN,WP4,1998281N11151,403548618.1,2.375
JPN,WP4,2014209N12152,200000000.0,2.235294117647059
JPN,WP4,2014184N08147,156000000.0,2.111111111111111
JPN,WP4,1991200N05157,110285260.8,2.0
JPN,WP4,1997217N06168,109868789.5,1.9
JPN,WP4,2014275N06166,100000000.0,1.8095238095238095
JPN,WP4,2012232N13141,67245080.24,1.7272727272727273
JPN,WP4,2007188N04148,64453546.68,1.6521739130434783
JPN,WP4,2003247N10153,54552255.91,1.5833333333333333
JPN,WP4,2015122N07144,25604132.8,1.52
JPN,WP4,2012254N09135,24239505.67,1.4615384615384615
JPN,WP4,1994224N20152,5930761.695,1.4074074074074074
KHM,WP1,1997298N06140,48505.97055,38.0
KNA,NA1,1989254N13340,219073474.2,38.0
KNA,NA1,2017242N16333,18484889.46,19.0
KOR,WP4,2003247N10153,9332563202.0,38.0
KOR,WP4,1987188N10151,3138801397.0,19.0
KOR,WP4,1995229N12144,1078553430.0,12.666666666666666
KOR,WP4,1989201N11145,1022890325.0,9.5
KOR,WP4,2012232N13141,519378870.9,7.6
KOR,WP4,2012254N09135,402807168.8,6.333333333333333
KOR,WP4,1995193N06156,355288188.6,5.428571428571429
KOR,WP4,1985268N03161,197048615.5,4.75
KOR,WP4,2000245N14157,178416664.1,4.222222222222222
KOR,WP4,2016269N15165,125690947.1,3.8
KOR,WP4,2007254N18140,87997870.47,3.4545454545454546
