year,emdat_eventcountry_id,country,type,emdat_impact_scaled,event_id
2006,2006-0339-CHN,CHN,Riverine flood,9436.0,2006-0339
2007,2007-0268-CHN,CHN,Riverine flood,6246620.0,2007-0268
2007,2007-0314-CHN,CHN,Riverine flood,464369.0,2007-0314
2007,2007-0315-CHN,CHN,Riverine flood,112917.0,2007-0315
2007,2007-0313-CHN,CHN,Riverine flood,56458.0,2007-0313
2007,2007-0448-CHN,CHN,Riverine flood,36698.0,2007-0448
2007,2007-0166-CHN,CHN,Riverine flood,18349.0,2007-0166
2007,2007-0405-CHN,CHN,Riverine flood,7763.0,2007-0405
2008,2008-0243-CHN,CHN,Riverine flood,2990400.0,2008-0243
2008,2008-0598-CHN,CHN,Riverine flood,138646.0,2008-0598
2008,2008-0416-CHN,CHN,Riverine flood,57089.0,2008-0416
2008,2008-0507-CHN,CHN,Riverine flood,39419.0,2008-0507
2008,2008-0263-CHN,CHN,Riverine flood,25826.0,2008-0263
2009,2009-0292-CHN,CHN,Riverine flood,1364123.0,2009-0292
2009,2009-0636-CHN,CHN,Riverine flood,383319.0,2009-0636
2009,2009-0235-CHN,CHN,Riverine flood,80483.0,2009-0235
2009,2009-0613-CHN,CHN,Riverine flood,45016.0,2009-0613
2010,2010-0239-CHN,CHN,Riverine flood,24158011.0,2010-0239
2010,2010-0530-CHN,CHN,Riverine flood,229501.0,2010-0530
2011,2011-0227-CHN,CHN,Riverine flood,8326655.0,2011-0227
2011,2011-0370-CHN,CHN,Riverine flood,5529419.0,2011-0370
2011,2011-0212-CHN,CHN,Riverine flood,70425.0,2011-0212
2012,2012-0292-CHN,CHN,Riverine flood,10197303.0,2012-0292
2012,2012-0197-CHN,CHN,Riverine flood,3186657.0,2012-0197
2012,2012-0173-CHN,CHN,Riverine flood,1529595.0,2012-0173
2012,2012-0581-CHN,CHN,Riverine flood,1019730.0,2012-0581
2012,2012-0477-CHN,CHN,Riverine flood,764798.0,2012-0477
2012,2012-0505-CHN,CHN,Riverine flood,637331.0,2012-0505
2012,2012-0576-CHN,CHN,Riverine flood,481823.0,2012-0576
2012,2012-0603-CHN,CHN,Riverine flood,471625.0,2012-0603
2012,2012-0136-CHN,CHN,Riverine flood,403218.0,2012-0136
2012,2012-0610-CHN,CHN,Riverine flood,390047.0,2012-0610
2013,2013-0317-CHN,CHN,Riverine flood,6231053.0,2013-0317
2013,2013-0259-CHN,CHN,Riverine flood,5805935.0,2013-0259
2013,2013-0257-CHN,CHN,Riverine flood,1758765.0,2013-0257
2013,2013-0262-CHN,CHN,Riverine flood,1758765.0,2013-0262
2013,2013-0200-CHN,CHN,Riverine flood,830388.0,2013-0200
2013,2013-0264-CHN,CHN,Riverine flood,717325.0,2013-0264
2013,2013-0221-CHN,CHN,Riverine flood,697225.0,2013-0221
2013,2013-0273-CHN,CHN,Riverine flood,574111.0,2013-0273
2013,2013-0201-CHN,CHN,Riverine flood,559036.0,2013-0201
2013,2013-0554-CHN,CHN,Riverine flood,515067.0,2013-0554
2013,2013-0416-CHN,CHN,Riverine flood,430897.0,2013-0416
2013,2013-0202-CHN,CHN,Riverine flood,418335.0,2013-0202
2013,2013-0219-CHN,CHN,Riverine flood,347984.0,2013-0219
2013,2013-0199-CHN,CHN,Riverine flood,207283.0,2013-0199
2014,2014-0389-CHN,CHN,Riverine flood,1730689.0,2014-0389
2014,2014-0267-CHN,CHN,Riverine flood,1545258.0,2014-0267
2014,2014-0550-CHN,CHN,Riverine flood,1359827.0,2014-0550
2014,2014-0180-CHN,CHN,Riverine flood,1236207.0,2014-0180
2014,2014-0215-CHN,CHN,Riverine flood,1112586.0,2014-0215
2014,2014-0549-CHN,CHN,Riverine flood,865345.0,2014-0549
2014,2014-0212-CHN,CHN,Riverine flood,836912.0,2014-0212
2014,2014-0323-CHN,CHN,Riverine flood,741724.0,2014-0323
2014,2014-0344-CHN,CHN,Riverine flood,704638.0,2014-0344
2014,2014-0266-CHN,CHN,Riverine flood,618103.0,2014-0266
2014,2014-0217-CHN,CHN,Flood (General),597088.0,2014-0217
2015,2015-0248-CHN,CHN,Riverine flood,2469484.0,2015-0248
2015,2015-0303-CHN,CHN,Flood (General),1481690.0,2015-0303
